"id","slug","title","difficulty","content"
"1829","maximum-xor-for-each-query","Maximum XOR for Each Query","Medium","You are given a **sorted** array `nums` of `n` non-negative integers and an integer `maximumBit`. You want to perform the following query `n` **times**:_x000D_
_x000D_
1.  Find a non-negative integer `k < 2maximumBit` such that `nums[0] XOR nums[1] XOR ... XOR nums[nums.length-1] XOR k` is **maximized**. `k` is the answer to the `ith` query._x000D_
2.  Remove the **last** element from the current array `nums`._x000D_
_x000D_
Return _an array_ `answer`_, where_ `answer[i]` _is the answer to the_ `ith` _query_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[0,1,1,3\], maximumBit = 2_x000D_
**Output:** \[0,3,2,3\]_x000D_
**Explanation**: The queries are answered as follows:_x000D_
1st query: nums = \[0,1,1,3\], k = 0 since 0 XOR 1 XOR 1 XOR 3 XOR 0 = 3._x000D_
2nd query: nums = \[0,1,1\], k = 3 since 0 XOR 1 XOR 1 XOR 3 = 3._x000D_
3rd query: nums = \[0,1\], k = 2 since 0 XOR 1 XOR 2 = 3._x000D_
4th query: nums = \[0\], k = 3 since 0 XOR 3 = 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[2,3,4,7\], maximumBit = 3_x000D_
**Output:** \[5,2,6,5\]_x000D_
**Explanation**: The queries are answered as follows:_x000D_
1st query: nums = \[2,3,4,7\], k = 5 since 2 XOR 3 XOR 4 XOR 7 XOR 5 = 7._x000D_
2nd query: nums = \[2,3,4\], k = 2 since 2 XOR 3 XOR 4 XOR 2 = 7._x000D_
3rd query: nums = \[2,3\], k = 6 since 2 XOR 3 XOR 6 = 7._x000D_
4th query: nums = \[2\], k = 5 since 2 XOR 5 = 7._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[0,1,2,2,5,7\], maximumBit = 3_x000D_
**Output:** \[4,3,6,4,6,7\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `nums.length == n`_x000D_
*   `1 <= n <= 105`_x000D_
*   `1 <= maximumBit <= 20`_x000D_
*   `0 <= nums[i] < 2maximumBit`_x000D_
*   `nums`​​​ is sorted in **ascending** order."
"1830","minimum-number-of-operations-to-make-string-sorted","Minimum Number of Operations to Make String Sorted","Hard","You are given a string `s` (**0-indexed**)​​​​​​. You are asked to perform the following operation on `s`​​​​​​ until you get a sorted string:_x000D_
_x000D_
1.  Find **the largest index** `i` such that `1 <= i < s.length` and `s[i] < s[i - 1]`._x000D_
2.  Find **the largest index** `j` such that `i <= j < s.length` and `s[k] < s[i - 1]` for all the possible values of `k` in the range `[i, j]` inclusive._x000D_
3.  Swap the two characters at indices `i - 1`​​​​ and `j`​​​​​._x000D_
4.  Reverse the suffix starting at index `i`​​​​​​._x000D_
_x000D_
Return _the number of operations needed to make the string sorted._ Since the answer can be too large, return it **modulo** `109 + 7`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""cba ""_x000D_
**Output:** 5_x000D_
**Explanation:** The simulation goes as follows:_x000D_
Operation 1: i=2, j=2. Swap s\[1\] and s\[2\] to get s= ""cab "", then reverse the suffix starting at 2. Now, s= ""cab ""._x000D_
Operation 2: i=1, j=2. Swap s\[0\] and s\[2\] to get s= ""bac "", then reverse the suffix starting at 1. Now, s= ""bca ""._x000D_
Operation 3: i=2, j=2. Swap s\[1\] and s\[2\] to get s= ""bac "", then reverse the suffix starting at 2. Now, s= ""bac ""._x000D_
Operation 4: i=1, j=1. Swap s\[0\] and s\[1\] to get s= ""abc "", then reverse the suffix starting at 1. Now, s= ""acb ""._x000D_
Operation 5: i=2, j=2. Swap s\[1\] and s\[2\] to get s= ""abc "", then reverse the suffix starting at 2. Now, s= ""abc ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""aabaa ""_x000D_
**Output:** 2_x000D_
**Explanation:** The simulation goes as follows:_x000D_
Operation 1: i=3, j=4. Swap s\[2\] and s\[4\] to get s= ""aaaab "", then reverse the substring starting at 3. Now, s= ""aaaba ""._x000D_
Operation 2: i=4, j=4. Swap s\[3\] and s\[4\] to get s= ""aaaab "", then reverse the substring starting at 4. Now, s= ""aaaab ""._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 3000`_x000D_
*   `s`​​​​​​ consists only of lowercase English letters."
"1832","check-if-the-sentence-is-pangram","Check if the Sentence Is Pangram","Easy","A **pangram** is a sentence where every letter of the English alphabet appears at least once._x000D_
_x000D_
Given a string `sentence` containing only lowercase English letters, return `true` _if_ `sentence` _is a **pangram**, or_ `false` _otherwise.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** sentence =  ""thequickbrownfoxjumpsoverthelazydog ""_x000D_
**Output:** true_x000D_
**Explanation:** sentence contains at least one of every letter of the English alphabet._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** sentence =  ""leetcode ""_x000D_
**Output:** false_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= sentence.length <= 1000`_x000D_
*   `sentence` consists of lowercase English letters."
"1833","maximum-ice-cream-bars","Maximum Ice Cream Bars","Medium","It is a sweltering summer day, and a boy wants to buy some ice cream bars._x000D_
_x000D_
At the store, there are `n` ice cream bars. You are given an array `costs` of length `n`, where `costs[i]` is the price of the `ith` ice cream bar in coins. The boy initially has `coins` coins to spend, and he wants to buy as many ice cream bars as possible._x000D_
_x000D_
**Note:** The boy can buy the ice cream bars in any order._x000D_
_x000D_
Return _the **maximum** number of ice cream bars the boy can buy with_ `coins` _coins.__x000D_
_x000D_
You must solve the problem by counting sort._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** costs = \[1,3,2,4,1\], coins = 7_x000D_
**Output:** 4_x000D_
**Explanation:** The boy can buy ice cream bars at indices 0,1,2,4 for a total price of 1 + 3 + 2 + 1 = 7._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** costs = \[10,6,8,7,7,8\], coins = 5_x000D_
**Output:** 0_x000D_
**Explanation:** The boy cannot afford any of the ice cream bars._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** costs = \[1,6,3,1,2,5\], coins = 20_x000D_
**Output:** 6_x000D_
**Explanation:** The boy can buy all the ice cream bars for a total price of 1 + 6 + 3 + 1 + 2 + 5 = 18._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `costs.length == n`_x000D_
*   `1 <= n <= 105`_x000D_
*   `1 <= costs[i] <= 105`_x000D_
*   `1 <= coins <= 108`"
"1834","single-threaded-cpu","Single-Threaded CPU","Medium","You are given `n`​​​​​​ tasks labeled from `0` to `n - 1` represented by a 2D integer array `tasks`, where `tasks[i] = [enqueueTimei, processingTimei]` means that the `i​​​​​​th`​​​​ task will be available to process at `enqueueTimei` and will take `processingTimei` to finish processing._x000D_
_x000D_
You have a single-threaded CPU that can process **at most one** task at a time and will act in the following way:_x000D_
_x000D_
*   If the CPU is idle and there are no available tasks to process, the CPU remains idle._x000D_
*   If the CPU is idle and there are available tasks, the CPU will choose the one with the **shortest processing time**. If multiple tasks have the same shortest processing time, it will choose the task with the smallest index._x000D_
*   Once a task is started, the CPU will **process the entire task** without stopping._x000D_
*   The CPU can finish a task then start a new one instantly._x000D_
_x000D_
Return _the order in which the CPU will process the tasks.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** tasks = \[\[1,2\],\[2,4\],\[3,2\],\[4,1\]\]_x000D_
**Output:** \[0,2,3,1\]_x000D_
**Explanation:** The events go as follows: _x000D_
- At time = 1, task 0 is available to process. Available tasks = {0}._x000D_
- Also at time = 1, the idle CPU starts processing task 0. Available tasks = {}._x000D_
- At time = 2, task 1 is available to process. Available tasks = {1}._x000D_
- At time = 3, task 2 is available to process. Available tasks = {1, 2}._x000D_
- Also at time = 3, the CPU finishes task 0 and starts processing task 2 as it is the shortest. Available tasks = {1}._x000D_
- At time = 4, task 3 is available to process. Available tasks = {1, 3}._x000D_
- At time = 5, the CPU finishes task 2 and starts processing task 3 as it is the shortest. Available tasks = {1}._x000D_
- At time = 6, the CPU finishes task 3 and starts processing task 1. Available tasks = {}._x000D_
- At time = 10, the CPU finishes task 1 and becomes idle._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** tasks = \[\[7,10\],\[7,12\],\[7,5\],\[7,4\],\[7,2\]\]_x000D_
**Output:** \[4,3,2,0,1\]_x000D_
**Explanation****:** The events go as follows:_x000D_
- At time = 7, all the tasks become available. Available tasks = {0,1,2,3,4}._x000D_
- Also at time = 7, the idle CPU starts processing task 4. Available tasks = {0,1,2,3}._x000D_
- At time = 9, the CPU finishes task 4 and starts processing task 3. Available tasks = {0,1,2}._x000D_
- At time = 13, the CPU finishes task 3 and starts processing task 2. Available tasks = {0,1}._x000D_
- At time = 18, the CPU finishes task 2 and starts processing task 0. Available tasks = {1}._x000D_
- At time = 28, the CPU finishes task 0 and starts processing task 1. Available tasks = {}._x000D_
- At time = 40, the CPU finishes task 1 and becomes idle._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `tasks.length == n`_x000D_
*   `1 <= n <= 105`_x000D_
*   `1 <= enqueueTimei, processingTimei <= 109`"
"1835","find-xor-sum-of-all-pairs-bitwise-and","Find XOR Sum of All Pairs Bitwise AND","Hard","The **XOR sum** of a list is the bitwise `XOR` of all its elements. If the list only contains one element, then its **XOR sum** will be equal to this element._x000D_
_x000D_
*   For example, the **XOR sum** of `[1,2,3,4]` is equal to `1 XOR 2 XOR 3 XOR 4 = 4`, and the **XOR sum** of `[3]` is equal to `3`._x000D_
_x000D_
You are given two **0-indexed** arrays `arr1` and `arr2` that consist only of non-negative integers._x000D_
_x000D_
Consider the list containing the result of `arr1[i] AND arr2[j]` (bitwise `AND`) for every `(i, j)` pair where `0 <= i < arr1.length` and `0 <= j < arr2.length`._x000D_
_x000D_
Return _the **XOR sum** of the aforementioned list_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** arr1 = \[1,2,3\], arr2 = \[6,5\]_x000D_
**Output:** 0_x000D_
**Explanation:** The list = \[1 AND 6, 1 AND 5, 2 AND 6, 2 AND 5, 3 AND 6, 3 AND 5\] = \[0,1,2,0,2,1\]._x000D_
The XOR sum = 0 XOR 1 XOR 2 XOR 0 XOR 2 XOR 1 = 0._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** arr1 = \[12\], arr2 = \[4\]_x000D_
**Output:** 4_x000D_
**Explanation:** The list = \[12 AND 4\] = \[4\]. The XOR sum = 4._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= arr1.length, arr2.length <= 105`_x000D_
*   `0 <= arr1[i], arr2[j] <= 109`"
"1836","remove-duplicates-from-an-unsorted-linked-list","Remove Duplicates From an Unsorted Linked List","Medium","Given the `head` of a linked list, find all the values that appear **more than once** in the list and delete the nodes that have any of those values._x000D_
_x000D_
Return _the linked list after the deletions.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** head = \[1,2,3,2\]_x000D_
**Output:** \[1,3\]_x000D_
**Explanation:** 2 appears twice in the linked list, so all 2's should be deleted. After deleting all 2's, we are left with \[1,3\]._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** head = \[2,1,1,2\]_x000D_
**Output:** \[\]_x000D_
**Explanation:** 2 and 1 both appear twice. All the elements should be deleted._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** head = \[3,2,2,1,3,2,4\]_x000D_
**Output:** \[1,4\]_x000D_
**Explanation:** 3 appears twice and 2 appears three times. After deleting all 3's and 2's, we are left with \[1,4\]._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the list is in the range `[1, 105]`_x000D_
*   `1 <= Node.val <= 105`"
"1837","sum-of-digits-in-base-k","Sum of Digits in Base K","Easy","Given an integer `n` (in base `10`) and a base `k`, return _the **sum** of the digits of_ `n` _**after** converting_ `n` _from base_ `10` _to base_ `k`._x000D_
_x000D_
After converting, each digit should be interpreted as a base `10` number, and the sum should be returned in base `10`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 34, k = 6_x000D_
**Output:** 9_x000D_
**Explanation:** 34 (base 10) expressed in base 6 is 54. 5 + 4 = 9._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 10, k = 10_x000D_
**Output:** 1_x000D_
**Explanation:** n is already in base 10. 1 + 0 = 1._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 100`_x000D_
*   `2 <= k <= 10`"
"1838","frequency-of-the-most-frequent-element","Frequency of the Most Frequent Element","Medium","The **frequency** of an element is the number of times it occurs in an array._x000D_
_x000D_
You are given an integer array `nums` and an integer `k`. In one operation, you can choose an index of `nums` and increment the element at that index by `1`._x000D_
_x000D_
Return _the **maximum possible frequency** of an element after performing **at most**_ `k` _operations_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,2,4\], k = 5_x000D_
**Output:** 3_x000D_
**Explanation:** Increment the first element three times and the second element two times to make nums = \[4,4,4\]._x000D_
4 has a frequency of 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[1,4,8,13\], k = 5_x000D_
**Output:** 2_x000D_
**Explanation:** There are multiple optimal solutions:_x000D_
- Increment the first element three times to make nums = \[4,4,8,13\]. 4 has a frequency of 2._x000D_
- Increment the second element four times to make nums = \[1,8,8,13\]. 8 has a frequency of 2._x000D_
- Increment the third element five times to make nums = \[1,4,13,13\]. 13 has a frequency of 2._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[3,9,6\], k = 2_x000D_
**Output:** 1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 105`_x000D_
*   `1 <= nums[i] <= 105`_x000D_
*   `1 <= k <= 105`"
"1839","longest-substring-of-all-vowels-in-order","Longest Substring Of All Vowels in Order","Medium","A string is considered **beautiful** if it satisfies the following conditions:_x000D_
_x000D_
*   Each of the 5 English vowels (`'a'`, `'e'`, `'i'`, `'o'`, `'u'`) must appear **at least once** in it._x000D_
*   The letters must be sorted in **alphabetical order** (i.e. all `'a'`s before `'e'`s, all `'e'`s before `'i'`s, etc.)._x000D_
_x000D_
For example, strings `""aeiou ""` and `""aaaaaaeiiiioou ""` are considered **beautiful**, but `""uaeio ""`, `""aeoiu ""`, and `""aaaeeeooo ""` are **not beautiful**._x000D_
_x000D_
Given a string `word` consisting of English vowels, return _the **length of the longest beautiful substring** of_ `word`_. If no such substring exists, return_ `0`._x000D_
_x000D_
A **substring** is a contiguous sequence of characters in a string._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** word =  ""aeiaaioaaaaeiiiiouuuooaauuaeiu ""_x000D_
**Output:** 13_x000D_
**Explanation:** The longest beautiful substring in word is  ""aaaaeiiiiouuu "" of length 13._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** word =  ""aeeeiiiioooauuuaeiou ""_x000D_
**Output:** 5_x000D_
**Explanation:** The longest beautiful substring in word is  ""aeiou "" of length 5._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** word =  ""a ""_x000D_
**Output:** 0_x000D_
**Explanation:** There is no beautiful substring, so return 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= word.length <= 5 * 105`_x000D_
*   `word` consists of characters `'a'`, `'e'`, `'i'`, `'o'`, and `'u'`."
"1840","maximum-building-height","Maximum Building Height","Hard","You want to build `n` new buildings in a city. The new buildings will be built in a line and are labeled from `1` to `n`._x000D_
_x000D_
However, there are city restrictions on the heights of the new buildings:_x000D_
_x000D_
*   The height of each building must be a non-negative integer._x000D_
*   The height of the first building **must** be `0`._x000D_
*   The height difference between any two adjacent buildings **cannot exceed** `1`._x000D_
_x000D_
Additionally, there are city restrictions on the maximum height of specific buildings. These restrictions are given as a 2D integer array `restrictions` where `restrictions[i] = [idi, maxHeighti]` indicates that building `idi` must have a height **less than or equal to** `maxHeighti`._x000D_
_x000D_
It is guaranteed that each building will appear **at most once** in `restrictions`, and building `1` will **not** be in `restrictions`._x000D_
_x000D_
Return _the **maximum possible height** of the **tallest** building_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 5, restrictions = \[\[2,1\],\[4,1\]\]_x000D_
**Output:** 2_x000D_
**Explanation:** The green area in the image indicates the maximum allowed height for each building._x000D_
We can build the buildings with heights \[0,1,2,1,2\], and the tallest building has a height of 2._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 6, restrictions = \[\]_x000D_
**Output:** 5_x000D_
**Explanation:** The green area in the image indicates the maximum allowed height for each building._x000D_
We can build the buildings with heights \[0,1,2,3,4,5\], and the tallest building has a height of 5._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** n = 10, restrictions = \[\[5,3\],\[2,5\],\[7,4\],\[10,3\]\]_x000D_
**Output:** 5_x000D_
**Explanation:** The green area in the image indicates the maximum allowed height for each building._x000D_
We can build the buildings with heights \[0,1,2,3,3,4,4,5,4,3\], and the tallest building has a height of 5._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `2 <= n <= 109`_x000D_
*   `0 <= restrictions.length <= min(n - 1, 105)`_x000D_
*   `2 <= idi <= n`_x000D_
*   `idi` is **unique**._x000D_
*   `0 <= maxHeighti <= 109`"
"1842","next-palindrome-using-same-digits","Next Palindrome Using Same Digits","Hard","You are given a numeric string `num`, representing a very large **palindrome**._x000D_
_x000D_
Return _the **smallest palindrome larger than**_ `num` _that can be created by rearranging its digits. If no such palindrome exists, return an empty string_ `"" ""`._x000D_
_x000D_
A **palindrome** is a number that reads the same backward as forward._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** num =  ""1221 ""_x000D_
**Output:**  ""2112 ""_x000D_
**Explanation:** The next palindrome larger than  ""1221 "" is  ""2112 ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** num =  ""32123 ""_x000D_
**Output:**  "" ""_x000D_
**Explanation:** No palindromes larger than  ""32123 "" can be made by rearranging the digits._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** num =  ""45544554 ""_x000D_
**Output:**  ""54455445 ""_x000D_
**Explanation:** The next palindrome larger than  ""45544554 "" is  ""54455445 ""._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= num.length <= 105`_x000D_
*   `num` is a **palindrome**."
"1844","replace-all-digits-with-characters","Replace All Digits with Characters","Easy","You are given a **0-indexed** string `s` that has lowercase English letters in its **even** indices and digits in its **odd** indices._x000D_
_x000D_
There is a function `shift(c, x)`, where `c` is a character and `x` is a digit, that returns the `xth` character after `c`._x000D_
_x000D_
*   For example, `shift('a', 5) = 'f'` and `shift('x', 0) = 'x'`._x000D_
_x000D_
For every **odd** index `i`, you want to replace the digit `s[i]` with `shift(s[i-1], s[i])`._x000D_
_x000D_
Return `s` _after replacing all digits. It is **guaranteed** that_ `shift(s[i-1], s[i])` _will never exceed_ `'z'`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""a1c1e1 ""_x000D_
**Output:**  ""abcdef ""_x000D_
**Explanation:** The digits are replaced as follows:_x000D_
- s\[1\] -> shift('a',1) = 'b'_x000D_
- s\[3\] -> shift('c',1) = 'd'_x000D_
- s\[5\] -> shift('e',1) = 'f'_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""a1b2c3d4e ""_x000D_
**Output:**  ""abbdcfdhe ""_x000D_
**Explanation:** The digits are replaced as follows:_x000D_
- s\[1\] -> shift('a',1) = 'b'_x000D_
- s\[3\] -> shift('b',2) = 'd'_x000D_
- s\[5\] -> shift('c',3) = 'f'_x000D_
- s\[7\] -> shift('d',4) = 'h'_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 100`_x000D_
*   `s` consists only of lowercase English letters and digits._x000D_
*   `shift(s[i-1], s[i]) <= 'z'` for all **odd** indices `i`."
"1845","seat-reservation-manager","Seat Reservation Manager","Medium","Design a system that manages the reservation state of `n` seats that are numbered from `1` to `n`._x000D_
_x000D_
Implement the `SeatManager` class:_x000D_
_x000D_
*   `SeatManager(int n)` Initializes a `SeatManager` object that will manage `n` seats numbered from `1` to `n`. All seats are initially available._x000D_
*   `int reserve()` Fetches the **smallest-numbered** unreserved seat, reserves it, and returns its number._x000D_
*   `void unreserve(int seatNumber)` Unreserves the seat with the given `seatNumber`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""SeatManager "",  ""reserve "",  ""reserve "",  ""unreserve "",  ""reserve "",  ""reserve "",  ""reserve "",  ""reserve "",  ""unreserve ""\]_x000D_
\[\[5\], \[\], \[\], \[2\], \[\], \[\], \[\], \[\], \[5\]\]_x000D_
**Output**_x000D_
\[null, 1, 2, null, 2, 3, 4, 5, null\]_x000D_
_x000D_
**Explanation**_x000D_
SeatManager seatManager = new SeatManager(5); // Initializes a SeatManager with 5 seats._x000D_
seatManager.reserve();    // All seats are available, so return the lowest numbered seat, which is 1._x000D_
seatManager.reserve();    // The available seats are \[2,3,4,5\], so return the lowest of them, which is 2._x000D_
seatManager.unreserve(2); // Unreserve seat 2, so now the available seats are \[2,3,4,5\]._x000D_
seatManager.reserve();    // The available seats are \[2,3,4,5\], so return the lowest of them, which is 2._x000D_
seatManager.reserve();    // The available seats are \[3,4,5\], so return the lowest of them, which is 3._x000D_
seatManager.reserve();    // The available seats are \[4,5\], so return the lowest of them, which is 4._x000D_
seatManager.reserve();    // The only available seat is seat 5, so return 5._x000D_
seatManager.unreserve(5); // Unreserve seat 5, so now the available seats are \[5\]._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 105`_x000D_
*   `1 <= seatNumber <= n`_x000D_
*   For each call to `reserve`, it is guaranteed that there will be at least one unreserved seat._x000D_
*   For each call to `unreserve`, it is guaranteed that `seatNumber` will be reserved._x000D_
*   At most `105` calls **in total** will be made to `reserve` and `unreserve`."
"1846","maximum-element-after-decreasing-and-rearranging","Maximum Element After Decreasing and Rearranging","Medium","You are given an array of positive integers `arr`. Perform some operations (possibly none) on `arr` so that it satisfies these conditions:_x000D_
_x000D_
*   The value of the **first** element in `arr` must be `1`._x000D_
*   The absolute difference between any 2 adjacent elements must be **less than or equal to** `1`. In other words, `abs(arr[i] - arr[i - 1]) <= 1` for each `i` where `1 <= i < arr.length` (**0-indexed**). `abs(x)` is the absolute value of `x`._x000D_
_x000D_
There are 2 types of operations that you can perform any number of times:_x000D_
_x000D_
*   **Decrease** the value of any element of `arr` to a **smaller positive integer**._x000D_
*   **Rearrange** the elements of `arr` to be in any order._x000D_
_x000D_
Return _the **maximum** possible value of an element in_ `arr` _after performing the operations to satisfy the conditions_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** arr = \[2,2,1,2,1\]_x000D_
**Output:** 2_x000D_
**Explanation:** _x000D_
We can satisfy the conditions by rearranging `arr` so it becomes `[1,2,2,2,1]`._x000D_
The largest element in `arr` is 2._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** arr = \[100,1,1000\]_x000D_
**Output:** 3_x000D_
**Explanation:** _x000D_
One possible way to satisfy the conditions is by doing the following:_x000D_
1. Rearrange `arr` so it becomes `[1,100,1000]`._x000D_
2. Decrease the value of the second element to 2._x000D_
3. Decrease the value of the third element to 3._x000D_
Now `arr = [1,2,3], which` satisfies the conditions._x000D_
The largest element in `arr is 3.`_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** arr = \[1,2,3,4,5\]_x000D_
**Output:** 5_x000D_
**Explanation:** The array already satisfies the conditions, and the largest element is 5._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= arr.length <= 105`_x000D_
*   `1 <= arr[i] <= 109`"
"1847","closest-room","Closest Room","Hard","There is a hotel with `n` rooms. The rooms are represented by a 2D integer array `rooms` where `rooms[i] = [roomIdi, sizei]` denotes that there is a room with room number `roomIdi` and size equal to `sizei`. Each `roomIdi` is guaranteed to be **unique**._x000D_
_x000D_
You are also given `k` queries in a 2D array `queries` where `queries[j] = [preferredj, minSizej]`. The answer to the `jth` query is the room number `id` of a room such that:_x000D_
_x000D_
*   The room has a size of **at least** `minSizej`, and_x000D_
*   `abs(id - preferredj)` is **minimized**, where `abs(x)` is the absolute value of `x`._x000D_
_x000D_
If there is a **tie** in the absolute difference, then use the room with the **smallest** such `id`. If there is **no such room**, the answer is `-1`._x000D_
_x000D_
Return _an array_ `answer` _of length_ `k` _where_ `answer[j]` _contains the answer to the_ `jth` _query_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** rooms = \[\[2,2\],\[1,2\],\[3,2\]\], queries = \[\[3,1\],\[3,3\],\[5,2\]\]_x000D_
**Output:** \[3,-1,3\]_x000D_
**Explanation:** The answers to the queries are as follows:_x000D_
Query = \[3,1\]: Room number 3 is the closest as abs(3 - 3) = 0, and its size of 2 is at least 1. The answer is 3._x000D_
Query = \[3,3\]: There are no rooms with a size of at least 3, so the answer is -1._x000D_
Query = \[5,2\]: Room number 3 is the closest as abs(3 - 5) = 2, and its size of 2 is at least 2. The answer is 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** rooms = \[\[1,4\],\[2,3\],\[3,5\],\[4,1\],\[5,2\]\], queries = \[\[2,3\],\[2,4\],\[2,5\]\]_x000D_
**Output:** \[2,1,3\]_x000D_
**Explanation:** The answers to the queries are as follows:_x000D_
Query = \[2,3\]: Room number 2 is the closest as abs(2 - 2) = 0, and its size of 3 is at least 3. The answer is 2._x000D_
Query = \[2,4\]: Room numbers 1 and 3 both have sizes of at least 4. The answer is 1 since it is smaller._x000D_
Query = \[2,5\]: Room number 3 is the only room with a size of at least 5. The answer is 3._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `n == rooms.length`_x000D_
*   `1 <= n <= 105`_x000D_
*   `k == queries.length`_x000D_
*   `1 <= k <= 104`_x000D_
*   `1 <= roomIdi, preferredj <= 107`_x000D_
*   `1 <= sizei, minSizej <= 107`"
"1848","minimum-distance-to-the-target-element","Minimum Distance to the Target Element","Easy","Given an integer array `nums` **(0-indexed)** and two integers `target` and `start`, find an index `i` such that `nums[i] == target` and `abs(i - start)` is **minimized**. Note that `abs(x)` is the absolute value of `x`._x000D_
_x000D_
Return `abs(i - start)`._x000D_
_x000D_
It is **guaranteed** that `target` exists in `nums`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,2,3,4,5\], target = 5, start = 3_x000D_
**Output:** 1_x000D_
**Explanation:** nums\[4\] = 5 is the only value equal to target, so the answer is abs(4 - 3) = 1._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[1\], target = 1, start = 0_x000D_
**Output:** 0_x000D_
**Explanation:** nums\[0\] = 1 is the only value equal to target, so the answer is abs(0 - 0) = 0._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[1,1,1,1,1,1,1,1,1,1\], target = 1, start = 0_x000D_
**Output:** 0_x000D_
**Explanation:** Every value of nums is 1, but nums\[0\] minimizes abs(i - start), which is abs(0 - 0) = 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 1000`_x000D_
*   `1 <= nums[i] <= 104`_x000D_
*   `0 <= start < nums.length`_x000D_
*   `target` is in `nums`."
